"ProblemID","UserID","SubmissionNumber","TimeStamp","TimeSinceLast","Grade","GradeDiff","NVideoEvents","NForumEvents","NumberOfThreadCreated","NumberOfUpvotes","NumberOfVideoInteractions","RewatchingScore","NumberOfPosts","NumberVideoWatched","NumberOfThreadViews","DurationOfVideoActivity","AverageVideoTimeDiffs","LastForumEvent","NumberOfSlowPlay","TimeSpentOnForum","LastVideoEvent","AvgTimeBwSubs","NVideoAndForum","ActivityRate","TimeSinceLastVideo","TimeSinceLastForum","improved"
5,"016f89dd9188f8ee1520cd0fe07030ff",3,1395655792,947,0,0,0,2,0,0,0,0,0,0,2,0,0,1395655176,0,136,0,65984.935483871,2,0.451612903225806,1395655792,616,"No"
5,"016f89dd9188f8ee1520cd0fe07030ff",4,1395660289,4497,0,0,0,30,0,0,0,0,0,0,17,0,0,1395659992,0,3848,0,65984.935483871,30,0.451612903225806,1395660289,297,"No"
5,"016f89dd9188f8ee1520cd0fe07030ff",6,1395660584,151,0,0,0,2,0,0,0,0,0,0,1,0,0,1395660516,0,19,0,65984.935483871,2,0.451612903225806,1395660584,68,"No"
5,"016f89dd9188f8ee1520cd0fe07030ff",7,1395661158,574,91.1111111111111,91.1111111111111,0,2,0,0,0,0,0,0,2,0,0,1395660903,0,89,0,65984.935483871,2,0.451612903225806,1395661158,255,"Yes"
7,"016f89dd9188f8ee1520cd0fe07030ff",1,1396127327,1292,100,14.2857142857143,0,11,0,0,0,0,0,0,8,0,0,1396127030,0,411,0,65984.935483871,11,0.451612903225806,1396127327,297,"Yes"
9,"016f89dd9188f8ee1520cd0fe07030ff",1,1396862726,5207,100,2.5,0,9,0,0,0,0,0,0,4,0,0,1396859579,0,1383,0,65984.935483871,9,0.451612903225806,1396862726,3147,"Yes"
14,"016f89dd9188f8ee1520cd0fe07030ff",3,1398543005,1781,77.3333333333333,26.6666666666667,1,11,0,0,0,0,0,1,8,0,0,1398542734,0,991,1398541493,65984.935483871,12,0.451612903225806,1512,271,"Yes"
14,"016f89dd9188f8ee1520cd0fe07030ff",4,1398543854,849,84,6.66666666666667,0,5,0,0,0,0,0,0,4,0,0,1398543744,0,531,0,65984.935483871,5,0.451612903225806,1398543854,110,"Yes"
14,"016f89dd9188f8ee1520cd0fe07030ff",5,1398544440,586,86.6666666666667,2.66666666666667,0,3,0,0,0,0,0,0,3,0,0,1398544323,0,97,0,65984.935483871,3,0.451612903225806,1398544440,117,"Yes"
14,"016f89dd9188f8ee1520cd0fe07030ff",8,1398545700,447,86.6666666666667,6.66666666666667,0,1,0,0,0,0,0,0,1,0,0,1398545637,0,0,0,65984.935483871,1,0.451612903225806,1398545700,63,"Yes"
14,"016f89dd9188f8ee1520cd0fe07030ff",9,1398546404,704,93.3333333333333,6.66666666666666,0,3,0,0,0,0,0,0,3,0,0,1398546176,0,167,0,65984.935483871,3,0.451612903225806,1398546404,228,"Yes"
1,"01dac251a1e587be181cec40a2d75bc6",2,1393695947,2339,0,0,0,5,0,0,0,0,0,0,2,0,0,1393694080,0,164,0,9726.70930232558,5,0.127906976744186,1393695947,1867,"No"
1,"01dac251a1e587be181cec40a2d75bc6",4,1393696729,700,87.5,0,0,2,0,0,0,0,0,0,1,0,0,1393696406,0,70,0,9726.70930232558,2,0.127906976744186,1393696729,323,"No"
4,"01dac251a1e587be181cec40a2d75bc6",7,1395217021,99,75,0,3,0,0,0,1,0,0,1,0,21,10.5,0,0,0,1395216981,9726.70930232558,3,0.127906976744186,40,1395217021,"No"
4,"01dac251a1e587be181cec40a2d75bc6",8,1395217440,419,75,0,12,0,0,0,1,2,0,4,0,225,20.4545454545455,0,0,0,1395217278,9726.70930232558,12,0.127906976744186,162,1395217440,"No"
9,"01dac251a1e587be181cec40a2d75bc6",2,1396855517,72527,87.5,-5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1396782995,9726.70930232558,1,0.127906976744186,72522,1396855517,"No"
15,"01dac251a1e587be181cec40a2d75bc6",2,1398152568,235752,40,0,0,6,0,0,0,0,0,0,3,0,0,1397917550,0,192,0,9726.70930232558,6,0.127906976744186,1398152568,235018,"No"
15,"01dac251a1e587be181cec40a2d75bc6",3,1398153398,830,40,0,0,2,0,0,0,0,0,0,1,0,0,1398153263,0,58,0,9726.70930232558,2,0.127906976744186,1398153398,135,"No"
15,"01dac251a1e587be181cec40a2d75bc6",4,1398161652,8254,38,-2,0,13,0,0,0,0,0,0,5,0,0,1398154067,0,559,0,9726.70930232558,13,0.127906976744186,1398161652,7585,"No"
15,"01dac251a1e587be181cec40a2d75bc6",18,1398242178,3146,50,2,0,2,0,0,0,0,0,0,1,0,0,1398239223,0,19,0,9726.70930232558,2,0.127906976744186,1398242178,2955,"Yes"
15,"01dac251a1e587be181cec40a2d75bc6",29,1398583567,852,50,0,0,2,0,0,0,0,0,0,1,0,0,1398583214,0,340,0,9726.70930232558,2,0.127906976744186,1398583567,353,"No"
15,"01dac251a1e587be181cec40a2d75bc6",33,1398585530,393,80,-10,0,2,0,0,0,0,0,0,1,0,0,1398585411,0,51,0,9726.70930232558,2,0.127906976744186,1398585530,119,"No"
4,"01f02e6c984034950fb7cd55c59307aa",2,1394543760,567,75,0,0,1,0,0,0,0,0,0,0,0,0,1394543403,0,0,0,1177.96666666667,1,0.133333333333333,1394543760,357,"No"
8,"01f02e6c984034950fb7cd55c59307aa",1,1395726131,46361,62.5,62.5,0,7,0,0,0,0,0,0,3,0,0,1395724973,0,44518,0,1177.96666666667,7,0.133333333333333,1395726131,1158,"Yes"
8,"01f02e6c984034950fb7cd55c59307aa",8,1395730201,500,87.5,0,0,1,0,0,0,0,0,0,0,0,0,1395729848,0,0,0,1177.96666666667,1,0.133333333333333,1395730201,353,"No"
8,"01f02e6c984034950fb7cd55c59307aa",9,1395731350,1149,0,-87.5,0,1,0,0,0,0,0,0,1,0,0,1395730307,0,0,0,1177.96666666667,1,0.133333333333333,1395731350,1043,"No"
13,"01f02e6c984034950fb7cd55c59307aa",1,1398702312,1031,80,30,0,2,0,0,0,0,0,0,1,0,0,1398702148,0,33,0,1177.96666666667,2,0.133333333333333,1398702312,164,"Yes"
15,"01f02e6c984034950fb7cd55c59307aa",1,1398087350,1091,50,0,0,3,0,0,0,0,0,0,3,0,0,1398086954,0,307,0,1177.96666666667,3,0.133333333333333,1398087350,396,"No"
15,"01f02e6c984034950fb7cd55c59307aa",5,1398090987,1220,70,10,0,2,0,0,0,0,0,0,2,0,0,1398090792,0,484,0,1177.96666666667,2,0.133333333333333,1398090987,195,"Yes"
15,"01f02e6c984034950fb7cd55c59307aa",7,1398092627,1201,100,30,0,1,0,0,0,0,0,0,1,0,0,1398091831,0,0,0,1177.96666666667,1,0.133333333333333,1398092627,796,"Yes"
0,"034a58807553a3a5a742987370350bae",2,1396607166,2584743,88.8888359069824,-11.1111640930176,21,3,0,0,0,0,0,19,0,2159417,107970.85,1396252473,0,96,1396598019,172604.708333333,24,0.0833333333333333,9147,354693,"No"
3,"034a58807553a3a5a742987370350bae",2,1396607399,1468891,83.3333333333333,-16.6666666666667,13,3,0,0,0,0,0,12,0,1383936,115328,1396252473,0,96,1396598019,172604.708333333,16,0.0833333333333333,9380,354926,"No"
1,"03a2b019ce2a8d876ccd261d4dfb5c4c",1,1393863489,67955,0,0,0,5,0,0,0,0,0,0,3,0,0,1393863243,0,125,0,30695.21875,5,0.140625,1393863489,246,"No"
1,"03a2b019ce2a8d876ccd261d4dfb5c4c",10,1394881615,1015802,87.5,0,97,13,0,0,73,5,0,8,3,255096,2657.25,1394542908,0,73944,1394670170,30695.21875,110,0.140625,211445,338707,"No"
4,"03a2b019ce2a8d876ccd261d4dfb5c4c",12,1394475349,112,75,0,0,1,0,0,0,0,0,0,0,0,0,1394475334,0,0,0,30695.21875,1,0.140625,1394475349,15,"No"
5,"03a2b019ce2a8d876ccd261d4dfb5c4c",4,1394850231,307654,88.8888888888889,11.1111111111111,65,5,0,0,49,2,0,5,1,9328,145.75,1394542908,0,240,1394670170,30695.21875,70,0.140625,180061,307323,"Yes"
8,"03a2b019ce2a8d876ccd261d4dfb5c4c",2,1395583893,225085,50,2.5,22,0,0,0,13,0,0,2,0,1951,92.9047619047619,0,0,0,1395580264,30695.21875,22,0.140625,3629,1395583893,"Yes"
9,"03a2b019ce2a8d876ccd261d4dfb5c4c",2,1396748842,379,55,55,0,2,0,0,0,0,0,0,1,0,0,1396748522,0,30,0,30695.21875,2,0.140625,1396748842,320,"Yes"
11,"03a2b019ce2a8d876ccd261d4dfb5c4c",2,1396532726,759,0,0,0,4,0,0,0,0,0,0,1,0,0,1396532196,0,60,0,30695.21875,4,0.140625,1396532726,530,"No"
11,"03a2b019ce2a8d876ccd261d4dfb5c4c",6,1396533466,414,44.4444444444444,44.4444444444444,0,1,0,0,0,0,0,0,1,0,0,1396533191,0,0,0,30695.21875,1,0.140625,1396533466,275,"Yes"
11,"03a2b019ce2a8d876ccd261d4dfb5c4c",11,1396795819,259481,88.8888888888889,0,0,7,0,0,0,0,0,0,2,0,0,1396748522,0,209719,0,30695.21875,7,0.140625,1396795819,47297,"No"
11,"03d7c2917c0a409c1162191eb04d2f31",3,1395352471,476,77.7777777777778,11.1111111111111,0,9,0,0,0,0,0,0,3,0,0,1395352297,0,108,0,356.583333333333,9,0.166666666666667,1395352471,174,"Yes"
15,"03d7c2917c0a409c1162191eb04d2f31",1,1396564453,277,90,90,0,2,0,0,0,0,0,0,0,0,0,1396564347,0,22,0,356.583333333333,2,0.166666666666667,1396564453,106,"Yes"
1,"0482379560c23330e4d876d28957165a",1,1394738898,317,82.5,-2.5,0,11,0,0,0,0,0,0,4,0,0,1394738803,0,167,0,2159.15853658537,11,0.304878048780488,1394738898,95,"No"
1,"0482379560c23330e4d876d28957165a",6,1394739732,325,100,12.5,0,4,0,0,0,0,0,0,3,0,0,1394739626,0,200,0,2159.15853658537,4,0.304878048780488,1394739732,106,"Yes"
4,"0482379560c23330e4d876d28957165a",4,1395701994,240,0,0,0,4,0,0,0,0,0,0,1,0,0,1395701902,0,113,0,2159.15853658537,4,0.304878048780488,1395701994,92,"No"
4,"0482379560c23330e4d876d28957165a",6,1395703273,1162,20,0,0,13,0,0,0,0,0,0,11,0,0,1395702997,0,326,0,2159.15853658537,13,0.304878048780488,1395703273,276,"No"
5,"0482379560c23330e4d876d28957165a",1,1396567651,445,0,0,0,3,0,0,0,0,0,0,2,0,0,1396567575,0,338,0,2159.15853658537,3,0.304878048780488,1396567651,76,"No"
5,"0482379560c23330e4d876d28957165a",3,1396567958,224,66.6666666666667,66.6666666666667,0,1,0,0,0,0,0,0,1,0,0,1396567944,0,0,0,2159.15853658537,1,0.304878048780488,1396567958,14,"Yes"
5,"0482379560c23330e4d876d28957165a",5,1396569859,1602,88.8888888888889,0,0,9,0,0,0,0,0,0,8,0,0,1396569289,0,762,0,2159.15853658537,9,0.304878048780488,1396569859,570,"No"
5,"0482379560c23330e4d876d28957165a",7,1396570597,477,88.8888888888889,0,0,1,0,0,0,0,0,0,1,0,0,1396570215,0,0,0,2159.15853658537,1,0.304878048780488,1396570597,382,"No"
8,"0482379560c23330e4d876d28957165a",1,1396310545,318,72.5,72.5,0,4,0,0,0,0,0,0,3,0,0,1396310408,0,93,0,2159.15853658537,4,0.304878048780488,1396310545,137,"Yes"
8,"0482379560c23330e4d876d28957165a",2,1396311991,1446,0,-72.5,0,5,0,0,0,0,0,0,5,0,0,1396311536,0,505,0,2159.15853658537,5,0.304878048780488,1396311991,455,"No"
8,"0482379560c23330e4d876d28957165a",5,1396317025,98,75,17.5,0,1,0,0,0,0,0,0,0,0,0,1396316962,0,0,0,2159.15853658537,1,0.304878048780488,1396317025,63,"Yes"
8,"0482379560c23330e4d876d28957165a",6,1396317417,392,75,0,0,10,0,0,0,0,0,0,3,0,0,1396317229,0,183,0,2159.15853658537,10,0.304878048780488,1396317417,188,"No"
8,"0482379560c23330e4d876d28957165a",7,1396341964,24547,75,0,0,9,1,0,0,0,1,0,3,0,0,1396341683,0,24144,0,2159.15853658537,9,0.304878048780488,1396341964,281,"No"
9,"0482379560c23330e4d876d28957165a",1,1396578408,681,87.5,0,0,2,0,0,0,0,0,0,1,0,0,1396577927,0,12,0,2159.15853658537,2,0.304878048780488,1396578408,481,"No"
9,"0482379560c23330e4d876d28957165a",2,1396625199,46791,87.5,0,0,6,0,0,0,0,0,0,6,0,0,1396579016,0,521,0,2159.15853658537,6,0.304878048780488,1396625199,46183,"No"
9,"0482379560c23330e4d876d28957165a",5,1396626573,461,87.5,0,0,1,0,0,0,0,0,0,1,0,0,1396626181,0,0,0,2159.15853658537,1,0.304878048780488,1396626573,392,"No"
11,"0482379560c23330e4d876d28957165a",1,1396634854,332,0,0,0,1,0,0,0,0,0,0,1,0,0,1396634768,0,0,0,2159.15853658537,1,0.304878048780488,1396634854,86,"No"
14,"0482379560c23330e4d876d28957165a",3,1396918523,314,53.3333333333333,0,0,1,0,0,0,0,0,0,1,0,0,1396918306,0,0,0,2159.15853658537,1,0.304878048780488,1396918523,217,"No"
14,"0482379560c23330e4d876d28957165a",5,1396919462,818,53.3333333333333,13.3333333333333,0,3,0,0,0,0,0,0,3,0,0,1396918968,0,238,0,2159.15853658537,3,0.304878048780488,1396919462,494,"Yes"
14,"0482379560c23330e4d876d28957165a",11,1396921454,665,86.6666666666667,0,0,1,0,0,0,0,0,0,1,0,0,1396921375,0,0,0,2159.15853658537,1,0.304878048780488,1396921454,79,"No"
14,"0482379560c23330e4d876d28957165a",13,1396922027,150,100,13.3333333333333,0,1,0,0,0,0,0,0,1,0,0,1396921959,0,0,0,2159.15853658537,1,0.304878048780488,1396922027,68,"Yes"
15,"0482379560c23330e4d876d28957165a",2,1396932415,1830,60,10,0,7,0,0,0,0,0,0,7,0,0,1396931101,0,456,0,2159.15853658537,7,0.304878048780488,1396932415,1314,"Yes"
15,"0482379560c23330e4d876d28957165a",7,1396939341,6293,80,-10,0,15,0,0,0,0,0,0,9,0,0,1396937696,0,2603,0,2159.15853658537,15,0.304878048780488,1396939341,1645,"No"
15,"0482379560c23330e4d876d28957165a",9,1397008106,68593,80,-10,0,61,1,0,0,0,4,0,23,0,0,1397004737,0,65155,0,2159.15853658537,61,0.304878048780488,1397008106,3369,"No"
15,"0482379560c23330e4d876d28957165a",11,1397009211,948,100,0,0,2,0,0,0,0,0,0,1,0,0,1397008298,0,2,0,2159.15853658537,2,0.304878048780488,1397009211,913,"No"
2,"055d826d2d0d671a5669178d21cd981e",1,1395152429,951079,0,0,6,0,0,0,0,0,0,5,0,17731,3546.2,0,0,0,1394219314,119086.5,6,0.125,933115,1395152429,"No"
2,"064fd12354d3c3041975bf46510a065c",2,1393532363,403,75,75,0,4,0,0,0,0,0,0,2,0,0,1393532179,0,63,0,236.5,4,0.142857142857143,1393532363,184,"Yes"
7,"064fd12354d3c3041975bf46510a065c",1,1395590991,436,0,0,0,2,0,0,0,0,0,0,1,0,0,1395590759,0,109,0,236.5,2,0.142857142857143,1395590991,232,"No"
1,"069006e5a76609c666740215f059de22",2,1394216538,1834,87.5,87.5,0,2,0,0,0,0,0,0,1,0,0,1394215653,0,381,0,9394.37313432836,2,0.119402985074627,1394216538,885,"Yes"
11,"069006e5a76609c666740215f059de22",3,1396349522,1951,0,0,0,6,0,0,0,0,0,0,2,0,0,1396349210,0,1538,0,9394.37313432836,6,0.119402985074627,1396349522,312,"No"
11,"069006e5a76609c666740215f059de22",4,1396387114,37592,0,0,0,4,0,0,0,0,1,0,2,0,0,1396385297,0,35605,0,9394.37313432836,4,0.119402985074627,1396387114,1817,"No"
11,"069006e5a76609c666740215f059de22",5,1396647025,259911,66.6666666666667,66.6666666666667,9,1,0,0,0,0,0,8,1,2558,319.75,1396406178,0,0,1396609480,9394.37313432836,10,0.119402985074627,37545,240847,"Yes"
11,"069006e5a76609c666740215f059de22",6,1396649153,2128,77.7777777777778,11.1111111111111,0,11,0,3,0,0,1,0,5,0,0,1396647905,0,806,0,9394.37313432836,11,0.119402985074627,1396649153,1248,"Yes"
11,"069006e5a76609c666740215f059de22",7,1396650178,1025,77.7777777777778,0,0,1,0,0,0,0,0,0,1,0,0,1396649732,0,0,0,9394.37313432836,1,0.119402985074627,1396650178,446,"No"
11,"069006e5a76609c666740215f059de22",8,1396693758,43580,77.7777777777778,0,0,13,0,0,0,0,3,0,8,0,0,1396693572,0,42752,0,9394.37313432836,13,0.119402985074627,1396693758,186,"No"
15,"069006e5a76609c666740215f059de22",3,1397765699,1665,60,0,0,7,0,0,0,0,0,0,3,0,0,1397764457,0,336,0,9394.37313432836,7,0.119402985074627,1397765699,1242,"No"
1,"06c0a7475c259ebe82516cde7e0fc1b5",2,1394146514,12585,75,75,7,19,1,0,0,0,1,1,4,33,5.5,1394142202,0,3709,1394143643,24104.5,26,0.333333333333333,2871,4312,"Yes"
2,"06c0a7475c259ebe82516cde7e0fc1b5",2,1393946784,4780,30,30,28,19,1,0,13,0,1,2,5,2076,76.8888888888889,1393946629,0,4462,1393945469,24104.5,47,0.333333333333333,1315,155,"Yes"
